time,peak,med_3h_lfc
3 hours,chr10.72331769.72332348,-2.1933929342378344
3 hours,chr12.47812666.47813514,-1.2599011537250964
3 hours,chr14.76772505.76773251,-1.3310086103535879
3 hours,chr2.219452790.219454100,-1.2198818523414783
3 hours,chr11.1437365.1438018,-1.3854277391279153
3 hours,chr11.76577027.76577716,-1.0272925608289283
3 hours,chr17.74037312.74037693,-1.9029675182073442
3 hours,chr10.70584818.70585814,-1.9263267748858723
3 hours,chr17.19317125.19317743,-1.598276672841009
3 hours,chr5.177494646.177495151,-1.232875638880576
3 hours,chr16.85395484.85396086,-1.0771016462144085
3 hours,chr1.2199219.2199726,-1.4923264301441956
3 hours,chr20.63834993.63835504,-1.3794325780170142
3 hours,chr19.46300600.46301262,-1.887962465488748
3 hours,chr8.102745319.102745898,-1.5120597543087957
3 hours,chr9.136625009.136625634,-1.1943882517169868
3 hours,chr9.36163091.36163941,-1.4976694442347478
3 hours,chr3.38543434.38544121,-1.6443265261133164
3 hours,chr13.113860409.113860858,-1.6279968294984113
3 hours,chr22.27669300.27669988,-1.189805828225202
3 hours,chrX.154531573.154532223,-1.0123472351898344
3 hours,chr12.6764026.6764748,-1.2356770740001481
3 hours,chr22.30289141.30290100,-0.64673596960289
3 hours,chr7.5524956.5526033,-2.5077722081247042
3 hours,chr20.50870544.50871549,-1.3905295684073553
3 hours,chr11.12746651.12747085,-1.5114412164182776
3 hours,chr14.76768188.76768850,-1.4480249153272577
3 hours,chr1.204080240.204080878,-1.3820626261351512
3 hours,chr1.153612648.153613242,-0.9153248121088562
3 hours,chr19.50508491.50509048,-1.1989954865073216
3 hours,chr16.58110448.58111450,-1.4303732966590794
3 hours,chr7.36303199.36304075,-1.1503291076642146
3 hours,chr19.3403869.3404977,-1.2193024004287762
3 hours,chr11.126113493.126114034,-1.2190596427552869
3 hours,chr10.97065180.97065467,-1.582695329109086
3 hours,chr1.203508331.203508970,-1.350252547783004
3 hours,chr7.74477915.74478583,-1.562143063705609
3 hours,chr14.100775518.100776573,-1.3306949334890779
3 hours,chr10.79381739.79382410,-1.1601006409667738
3 hours,chr11.46697154.46697861,-1.8419789909124207
3 hours,chr17.50209444.50211103,-0.43067639441008865
3 hours,chr22.24247314.24248131,-1.5581136908488067
3 hours,chr17.7854843.7855040,-1.8994138979168673
3 hours,chr7.30911509.30912000,-1.2548633100919524
3 hours,chr19.38304833.38305487,-1.3424737492052135
3 hours,chr1.2279093.2279871,-1.4946841467533756
3 hours,chr5.132215349.132215804,-1.289270234626236
3 hours,chr11.130611620.130612851,1.1049648372715168
3 hours,chr3.11185562.11186096,-0.8982337500757374
3 hours,chr19.39204738.39205211,-2.0059973173084353
3 hours,chr19.46298893.46299315,-1.1400007032746622
3 hours,chr12.131912382.131913198,-1.0704914679393154
3 hours,chr17.43417268.43418001,-1.3903123813997431
3 hours,chr19.5880541.5880993,-0.8863493231606188
3 hours,chr2.240775784.240776312,-1.3712212750709663
3 hours,chr16.10616753.10617689,-1.1891043077845738
3 hours,chr11.69010903.69011446,-1.2042901855751134
3 hours,chr1.16019566.16019882,-1.2933243463658188
3 hours,chr10.90912452.90913442,-2.0204804954101787
3 hours,chr1.11790518.11791307,-1.202450142716871
